type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.070476239	120.840062450	572.1						
T	14.070877236	120.840060285	568.2						
T	14.071877621	120.839641449	563.1						
T	14.073079557	120.839428240	560.4						
T	14.074079941	120.839009401	553.1						
T	14.075281878	120.838796194	550.6						
T	14.075882320	120.838586233	548.8						
T	14.076884817	120.838580824	545.5						
T	14.078889817	120.838570010	536.6						
T	14.080090706	120.838150086	532.4						
T	14.081493157	120.837935802	525.1						
T	14.082494608	120.837723676	520.0						
T	14.083294498	120.837305910	515.7						
T	14.084294892	120.836887063	510.3						
T	14.085092661	120.836055847	506.3						
T	14.085490482	120.835433516	503.7						
T	14.085687798	120.834812267	502.0						
T	14.085880861	120.833364132	503.6						
T	14.085878734	120.832950690	503.3						
T	14.086070722	120.831295844	499.1						
T	14.086068592	120.830882407	496.5						
T	14.086663708	120.829638829	477.3						
T	14.087061516	120.829016498	474.7						
T	14.087457187	120.827980726	462.9						
T	14.088054428	120.827150580	455.0						
T	14.088854308	120.826732778	455.0						
T	14.089452615	120.826109346	451.8						
T	14.090252497	120.825691538	454.8						
T	14.091051311	120.825067008	452.1						
T	14.092251139	120.824440286	459.2						
T	14.093250465	120.823814652	459.4						
T	14.094249792	120.823189011	455.5						
T	14.095449637	120.822562270	450.6						
T	14.095849584	120.822353355	449.8						
T	14.096847852	120.821520973	442.6						
T	14.097645610	120.820689680	436.1						
T	14.097841828	120.819861674	431.0						
T	14.098639586	120.819030371	427.8						
T	14.099236831	120.818200160	428.6						
T	14.099433049	120.817372146	426.8						
T	14.099628190	120.816337403	423.9						
T	14.099622814	120.815303762	418.9						
T	14.100018464	120.814267912	412.5						
T	14.100616780	120.813644409	407.4						
T	14.101415616	120.813019795	406.9						
T	14.101615057	120.812811958	407.7						
T	14.086821788	120.783125800	280.9						
T	14.086216992	120.782509052	279.1						
T	14.085409502	120.781480000	267.8						
T	14.084603106	120.780657677	268.7						
T	14.083998306	120.780040936	263.1						
T	14.082991403	120.779219759	248.9						
T	14.082186097	120.778604166	233.5						
T	14.081581295	120.777987429	226.9						
T	14.080976490	120.777370694	198.7						
T	14.078960461	120.775314913	167.8						
T	14.078154045	120.774492602	205.2						
T	14.077344313	120.773050118	200.3						
T	14.076536781	120.772021083	172.9						
T	14.075731454	120.771405501	196.9						
T	14.075125521	120.770582041	208.9						
T	14.074720087	120.769757430	208.0						
T	14.074114145	120.768933973	217.3						
T	14.073508200	120.768110509	213.5						
T	14.072902249	120.767287044	207.9						
T	14.072297405	120.766670310	207.5						
T	14.071489830	120.765641268	209.1						
T	14.069878000	120.764203368	200.4						
T	14.069272024	120.763379896	197.1						
T	14.068466655	120.762764310	193.0						
T	14.067660164	120.761941989	188.4						
T	14.066853667	120.761119665	184.4						
T	14.065850015	120.760918703	180.2						
T	14.066052760	120.761331016	181.5						
T	14.066256622	120.761950063	183.2						
T	14.066862611	120.762773536	188.3						
T	14.067670215	120.763802582	193.2						
T	14.068075686	120.764627201	196.0						
